,Plot,Cell_type,Variant,STAT_type,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
0,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,2.8528190358168157e-12,3.7638927465155745,100000,1.0,16.46735860672994
1,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,4.272305320485853e-12,3.7638927465155745,100000,1.0,16.41547271368967
2,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,6.398089932201252e-12,3.7638927465155745,100000,1.0,16.33823742020084
3,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,9.581607986734417e-12,3.7638927465155745,100000,1.0,16.223612461928955
4,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,1.4349159293524754e-11,3.7638927465155745,100000,1.0,16.054259782229586
5,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,2.148891634013936e-11,3.7638927465155745,100000,1.0,15.805724122777319
6,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,3.2181225117620064e-11,3.7638927465155745,100000,1.0,15.444620775360924
7,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,4.819374014391199e-11,3.7638927465155745,100000,1.0,14.927734334855868
8,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,7.217365344451104e-11,3.7638927465155745,100000,1.0,14.204001815283299
9,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,1.0808532884091641e-10,3.7638927465155745,100000,1.0,13.222766861843775
10,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,1.6186569133057392e-10,3.7638927465155745,100000,1.0,11.952116104927857
11,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,2.424057206550881e-10,3.7638927465155745,100000,1.0,10.406798118711437
12,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,3.6302030975982313e-10,3.7638927465155745,100000,1.0,8.672373493923336
13,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,5.436494854245998e-10,3.7638927465155745,100000,1.0,6.8991628775371865
14,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,8.1415489727826e-10,3.7638927465155745,100000,1.0,5.253168861199742
15,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,1.2192565513871144e-09,3.7638927465155745,100000,1.0,3.8542830703359643
16,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,1.8259259301517372e-09,3.7638927465155745,100000,1.0,2.7479641535686596
17,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,2.734457730497721e-09,3.7638927465155745,100000,1.0,1.9188278335757207
18,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,4.095050602220965e-09,3.7638927465155745,100000,1.0,1.3205331389579291
19,1,ACH-000049,WT,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,200000.0,6.6e-05,6e-12,6.132638017300007e-09,3.7638927465155745,100000,1.0,0.8998158368667643
20,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,2.8528190358168157e-12,3.7638927465155745,100000,1.0,16.432192415137067
21,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,4.272305320485853e-12,3.7638927465155745,100000,1.0,16.36285672091778
22,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,6.398089932201252e-12,3.7638927465155745,100000,1.0,16.25955004343294
23,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,9.581607986734417e-12,3.7638927465155745,100000,1.0,16.10602155277793
24,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,1.4349159293524754e-11,3.7638927465155745,100000,1.0,15.878733751054865
25,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,2.148891634013936e-11,3.7638927465155745,100000,1.0,15.544203251826643
26,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,3.2181225117620064e-11,3.7638927465155745,100000,1.0,15.056154566812536
27,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,4.819374014391199e-11,3.7638927465155745,100000,1.0,14.353646867573671
28,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,7.217365344451104e-11,3.7638927465155745,100000,1.0,13.363080243208389
29,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,1.0808532884091641e-10,3.7638927465155745,100000,1.0,12.01012321540654
30,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,1.6186569133057392e-10,3.7638927465155745,100000,1.0,10.251422215249471
31,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,2.424057206550881e-10,3.7638927465155745,100000,1.0,8.134520076417536
32,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,3.6302030975982313e-10,3.7638927465155745,100000,1.0,5.869374292918617
33,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,5.436494854245998e-10,3.7638927465155745,100000,1.0,3.827281891289348
34,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,8.1415489727826e-10,3.7638927465155745,100000,1.0,2.3488290369993847
35,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,1.2192565513871144e-09,3.7638927465155745,100000,1.0,1.4705825293364538
36,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,1.8259259301517372e-09,3.7638927465155745,100000,1.0,0.9668265175580306
37,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,2.734457730497721e-09,3.7638927465155745,100000,1.0,0.6466109146472774
38,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,4.095050602220965e-09,3.7638927465155745,100000,1.0,0.43263710695639124
39,1,ACH-000049,39:113,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,49000.0,5e-06,6e-12,6.132638017300007e-09,3.7638927465155745,100000,1.0,0.28923997310126714
40,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,2.8528190358168157e-12,3.7638927465155745,100000,1.0,16.468869868237807
41,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,4.272305320485853e-12,3.7638927465155745,100000,1.0,16.417601248846932
42,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,6.398089932201252e-12,3.7638927465155745,100000,1.0,16.34112528687827
43,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,9.581607986734417e-12,3.7638927465155745,100000,1.0,16.227272980365335
44,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,1.4349159293524754e-11,3.7638927465155745,100000,1.0,16.058278605019108
45,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,2.148891634013936e-11,3.7638927465155745,100000,1.0,15.80855051324567
46,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,3.2181225117620064e-11,3.7638927465155745,100000,1.0,15.441990177479665
47,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,4.819374014391199e-11,3.7638927465155745,100000,1.0,14.909374284696447
48,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,7.217365344451104e-11,3.7638927465155745,100000,1.0,14.147306931075386
49,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,1.0808532884091641e-10,3.7638927465155745,100000,1.0,13.082234240359124
50,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,1.6186569133057392e-10,3.7638927465155745,100000,1.0,11.64619982957355
51,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,2.424057206550881e-10,3.7638927465155745,100000,1.0,9.813795455892324
52,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,3.6302030975982313e-10,3.7638927465155745,100000,1.0,7.6642673792291784
53,1,ACH-000049,54:98,6e-12,1e-10,1.4e-08,3e-12,1500000.0,0.003,34000.0,5e-06,6e-12,5.436494854245998e-10,3.7638927465155745,100000,1.0,5.440646307562951
