,Plot,Cell_type,Variant,STAT_type,Variant,vol_EC,surf_cell,vol_cell,k_IL_R1_f,k_IL_R1_b,k_A_R1_f,k_A_R1_b,IL0,A0,R10,Tf,dT,Result
0,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,2.8528190358168157e-12,3.136577288762978,100000,1.0,0.16642164649039295
1,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,4.272305320485853e-12,3.136577288762978,100000,1.0,0.16474884841714602
2,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,6.398089932201252e-12,3.136577288762978,100000,1.0,0.16229616371432184
3,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,9.581607986734417e-12,3.136577288762978,100000,1.0,0.15873695547409034
4,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,1.4349159293524754e-11,3.136577288762978,100000,1.0,0.1536499717526048
5,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,2.148891634013936e-11,3.136577288762978,100000,1.0,0.146538872094597
6,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,3.2181225117620064e-11,3.136577288762978,100000,1.0,0.13690944724221035
7,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,4.819374014391199e-11,3.136577288762978,100000,1.0,0.12443655887120968
8,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,7.217365344451104e-11,3.136577288762978,100000,1.0,0.10921476897726227
9,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,1.0808532884091641e-10,3.136577288762978,100000,1.0,0.0919825379394233
10,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,1.6186569133057392e-10,3.136577288762978,100000,1.0,0.07410340272425789
11,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,2.424057206550881e-10,3.136577288762978,100000,1.0,0.05717514996642596
12,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,3.6302030975982313e-10,3.136577288762978,100000,1.0,0.042469434600354246
13,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,5.436494854245998e-10,3.136577288762978,100000,1.0,0.030594768981528984
14,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,8.1415489727826e-10,3.136577288762978,100000,1.0,0.02153723049525137
15,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,1.2192565513871144e-09,3.136577288762978,100000,1.0,0.014911105562184038
16,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,1.8259259301517372e-09,3.136577288762978,100000,1.0,0.01020418682666953
17,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,2.734457730497721e-09,3.136577288762978,100000,1.0,0.006927510346512181
18,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,4.095050602220965e-09,3.136577288762978,100000,1.0,0.004677548887263736
19,1,ACH-000049,WT,6e-12,WT,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,621135.904302928,7.15915455932658e-05,6e-12,6.132638017300007e-09,3.136577288762978,100000,1.0,0.0031467914890372086
20,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,2.8528190358168157e-12,3.136577288762978,100000,1.0,0.16601871986545783
21,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,4.272305320485853e-12,3.136577288762978,100000,1.0,0.16413396576951603
22,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,6.398089932201252e-12,3.136577288762978,100000,1.0,0.1613506639815797
23,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,9.581607986734417e-12,3.136577288762978,100000,1.0,0.15726913749181054
24,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,1.4349159293524754e-11,3.136577288762978,100000,1.0,0.1513466065682643
25,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,2.148891634013936e-11,3.136577288762978,100000,1.0,0.1428880912327082
26,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,3.2181225117620064e-11,3.136577288762978,100000,1.0,0.13109405590684614
27,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,4.819374014391199e-11,3.136577288762978,100000,1.0,0.11523588683660888
28,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,7.217365344451104e-11,3.136577288762978,100000,1.0,0.0950570397457567
29,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,1.0808532884091641e-10,3.136577288762978,100000,1.0,0.07144209199001873
30,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,1.6186569133057392e-10,3.136577288762978,100000,1.0,0.04708629237834013
31,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,2.424057206550881e-10,3.136577288762978,100000,1.0,0.026254184976162043
32,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,3.6302030975982313e-10,3.136577288762978,100000,1.0,0.012565545942846347
33,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,5.436494854245998e-10,3.136577288762978,100000,1.0,0.006037229186641529
34,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,8.1415489727826e-10,3.136577288762978,100000,1.0,0.0035033526578955865
35,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,1.2192565513871144e-09,3.136577288762978,100000,1.0,0.0022914388901660453
36,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,1.8259259301517372e-09,3.136577288762978,100000,1.0,0.001526753609222868
37,1,ACH-000049,39:113,6e-12,39:113,1e-10,1.4e-08,3e-12,114591.068641552,0.005539899482119,96744.2376089389,1.58134458463954e-06,6e-12,2.734457730497721e-09,3.136577288762978,100000,1.0,0.0010183590624976235
