Variant,Parameter,Initial_val,Lower_bound,Upper_bound
WT,k_IL_R1_f,122601.918922355,94868.3298050514,948683.298050514
WT,k_IL_R1_b,0.005686516007084,0.001798234253339,0.017982342533392
WT,k_A_R1_f,621135.904302928,63245.5532033676,632455.532033676
WT,k_A_R1_b,7.15915455932658E-05,2.2639234528651E-05,0.000226392345287
39:113,k_A_R1_f,96744.2376089389,15495.1605348251,154951.605348251
39:113,k_A_R1_b,1.58134458463954E-06,5.00065065303386E-07,5.00065065303386E-06
54:98,k_A_R1_f,84657.0578418093,10751.7440445725,107517.440445725
54:98,k_A_R1_b,1.58616275669991E-06,5.01588705090322E-07,5.01588705090322E-06
74:79,k_A_R1_f,3453742.38862678,1296533.84066904,12965338.4066904
74:79,k_A_R1_b,0.00037947331922,0.00012,0.001199999999999
87:66,k_A_R1_f,93377.3333763803,9486.83298050514,94868.3298050514
87:66,k_A_R1_b,0.000161789883606,5.11624534568496E-05,0.000511624534568
