Dataset type,RNA dataset num.,Prot. count dataset num.,Cell,Gene,Log2 TPM,Log10 Prot. count
Immune,1.0,,MO.nonclassical,IL1R1_HUMAN,0.4686068218877373,
Immune,1.0,,Basophil,IL1R1_HUMAN,2.6875755576808498,
Immune,1.0,1.0,T4.CM,IL1R1_HUMAN,1.7927194161845823,3.7220989503465134
Immune,1.0,1.0,T4.EM,IL1R1_HUMAN,0.8419407753992947,3.4523998459114416
Immune,1.0,1.0,T4.naive,IL1R1_HUMAN,0.5023022711556384,3.250236974498963
Immune,1.0,,Eosinophil,IL1R1_HUMAN,0.0986152978254597,
Immune,1.0,1.0,T8.CM,IL1R1_HUMAN,0.4004713284468295,3.363846924167229
Immune,1.0,1.0,T8.EM,IL1R1_HUMAN,0.2814764215206246,3.089021500795006
Immune,1.0,1.0,T8.naive,IL1R1_HUMAN,0.0131984491955996,3.587991426431244
Immune,1.0,,T8.EMRA,IL1R1_HUMAN,0.1942182063394021,
Immune,1.0,,B.naive,IL1R1_HUMAN,0.093668637658427,
Immune,1.0,,MO.classical,IL1R1_HUMAN,2.3716053890958384,
Immune,1.0,,Neutrophil,IL1R1_HUMAN,5.347441882188663,
Immune,1.0,,mDC,IL1R1_HUMAN,2.7670784192009354,
Immune,1.0,,NK.Immature,IL1R1_HUMAN,2.842088582610262,
Immune,1.0,,B.Unswitched_Memory,IL1R1_HUMAN,0.0640888811055748,
Immune,1.0,,B.Switched_Memory,IL1R1_HUMAN,0.0558394928851125,
Immune,,1.0,Th1,IL1R1_HUMAN,,3.273840097458562
Immune,,1.0,Th17,IL1R1_HUMAN,,3.5747544893468146
Immune,,1.0,Th2,IL1R1_HUMAN,,3.333598394772672
Cancer,2.0,,ACH-000364,IL1R1_HUMAN,1.7570232465074596,
Cancer,2.0,,ACH-001086,IL1R1_HUMAN,1.4646682670034443,
Cancer,2.0,,ACH-000232,IL1R1_HUMAN,2.007195501404204,
Cancer,2.0,,ACH-001328,IL1R1_HUMAN,1.967168607532628,
Cancer,2.0,,ACH-001113,IL1R1_HUMAN,5.150153455246247,
Cancer,2.0,,ACH-001289,IL1R1_HUMAN,1.2750070474998698,
Cancer,2.0,,ACH-001339,IL1R1_HUMAN,1.565597175854225,
Cancer,2.0,,ACH-001538,IL1R1_HUMAN,0.6229303509201767,
Cancer,2.0,,ACH-000242,IL1R1_HUMAN,3.063502942306158,
Cancer,2.0,,ACH-000708,IL1R1_HUMAN,0.0285691521967709,
Cancer,2.0,,ACH-000327,IL1R1_HUMAN,1.790772037862,
Cancer,2.0,,ACH-000233,IL1R1_HUMAN,6.624247145836196,
Cancer,2.0,,ACH-000461,IL1R1_HUMAN,1.726831217032493,
Cancer,2.0,,ACH-000705,IL1R1_HUMAN,0.5558161550616396,
Cancer,2.0,,ACH-001794,IL1R1_HUMAN,5.067380578019059,
Cancer,2.0,,ACH-002023,IL1R1_HUMAN,1.263034405833794,
Cancer,2.0,,ACH-000528,IL1R1_HUMAN,1.8237493603082728,
Cancer,2.0,,ACH-001655,IL1R1_HUMAN,4.043519493662743,
Cancer,2.0,,ACH-000167,IL1R1_HUMAN,0.2630344058337938,
Cancer,2.0,,ACH-000792,IL1R1_HUMAN,2.6848187375532224,
Cancer,2.0,,ACH-001098,IL1R1_HUMAN,3.702657543390911,
Cancer,2.0,,ACH-000570,IL1R1_HUMAN,1.599317793698226,
Cancer,2.0,,ACH-000351,IL1R1_HUMAN,2.3103401206121505,
Cancer,2.0,,ACH-000769,IL1R1_HUMAN,0.2016338611696504,
Cancer,2.0,,ACH-000154,IL1R1_HUMAN,4.797531839571962,
Cancer,2.0,,ACH-000828,IL1R1_HUMAN,6.041330606820623,
Cancer,2.0,,ACH-000421,IL1R1_HUMAN,1.956056652412403,
Cancer,2.0,,ACH-000765,IL1R1_HUMAN,0.8875252707415875,
Cancer,2.0,,ACH-001375,IL1R1_HUMAN,2.3673710656485296,
Cancer,2.0,,ACH-000008,IL1R1_HUMAN,3.187451054027326,
Cancer,2.0,,ACH-001814,IL1R1_HUMAN,5.318678373736547,
Cancer,2.0,,ACH-000800,IL1R1_HUMAN,0.070389327891398,
Cancer,2.0,,ACH-000606,IL1R1_HUMAN,2.782408564927373,
